"x","y","z","chr","coord","randX","randY","randZ"
13.408,-17.207,-5.522,"chr f",7400000,10.692539414131037,-5.627482783327938,2.7270449580385225
14.094,-17.736,-4.851,"chr f",7500000,10.990806374396186,-16.934777980076184,-3.0574055992528955
14.391,-18.899,-4.343,"chr f",7600000,-9.6036375967164,-15.719727547141837,-5.548879506815506
13.278,-18.919,-3.954,"chr f",7700000,1.6210913836873857,-4.437180958087872,6.6531550566496875
13.335,-19.099,-5.869,"chr f",7800000,12.160781615078577,4.810508553947312,-13.427311750243431
12.478,-19.253,-6.586,"chr f",7900000,-11.051412244786981,-15.59362412904485,1.9805610024655032
12.042,-19.862,-6.074,"chr f",8000000,-9.145704411298063,-16.628050314534008,17.315872534291145
12.212,-19.059,-4.919,"chr f",8100000,-19.95581554659292,18.49640641020413,5.116957211820427
11.84,-18.033,-4.047,"chr f",8200000,2.39035056728072,-5.871185653317061,-14.290598833109414
11.384,-17.722,-4.639,"chr f",8300000,0.6050878966394713,-9.490524299150248,-13.330951354205553
12.108,-18.558,-4.83,"chr f",8400000,13.579188062916884,1.6563765135298638,1.6729354307517106
13.341,-19.071,-5.395,"chr f",8500000,-14.862253736018447,2.7982129665508992,12.573560989440821
13.477,-18.975,-5.173,"chr f",8600000,-4.000140828262136,-17.763259659443055,-15.39649034719115
14.477,-18.76,-4.995,"chr f",8700000,1.9706066212956657,-2.1571965704401848,-4.2116354507508635
14.924,-19.304,-3.862,"chr f",8800000,6.068509876031673,-18.107437410313352,-3.723802278048346
16.028,-19.585,-2.131,"chr f",8900000,-1.14948247278679,-11.273485594876655,5.179079713512515
15.899,-19.546,-2.687,"chr f",9000000,5.491106433667262,3.291156773487664,7.515350200526253
16.078,-19.945,-3.049,"chr f",9100000,-0.11750643452016263,17.14137144276861,10.668101765694708
15.464,-19.588,-1.822,"chr f",9200000,11.773712578549507,4.075302158962582,-2.715437945336731
15.952,-18.751,-1.272,"chr f",9300000,8.36606038403481,8.749193482872833,13.167396051912391
16.253,-18.402,-0.356,"chr f",9400000,-4.4929056597730685,-7.868669701005375,16.937797084214395
16.634,-18.742,-0.861,"chr f",9500000,-1.8488040263289136,-1.020276654244089,-4.189109983066416
16.183,-18.38,-0.801,"chr f",9600000,9.679019560580223,-7.358288759584646,0.9484972182958771
15.442,-19.26,0.055,"chr f",9700000,9.808231106183541,-7.813295869680875,-9.654887818609378
16.087,-19.38,0.54,"chr f",9800000,14.655335983994085,4.6533001262340115,-19.87316076756666
16.523,-19.995,-0.221,"chr f",9900000,-19.987594952923423,17.725621035822883,-13.868703156340656
16.03,-19.846,-0.274,"chr f",0,15.857483628036697,7.938582772901196,-5.112204713362129
15.457,-20.744,-0.821,"chr f",100000,-4.509573970108196,14.777544844273379,-5.741408738023516
15.637,-21.766,-0.178,"chr f",200000,9.887034137175984,-7.583696010521619,14.342074221132172
15.399,-22.043,-0.829,"chr f",300000,-3.6488571566318555,-5.778221647426385,-2.27552204241967
15.836,-21.136,-1.634,"chr f",400000,9.618427764627484,9.784592854101636,19.377413935523975
16.555,-21.113,-1.932,"chr f",500000,-19.828857476654427,8.451570499467795,-10.172151745547676
16.223,-21.634,-2.037,"chr f",600000,7.286585506094227,-10.533072041032078,13.688030508061722
15.832,-22.72,-1.988,"chr f",700000,-5.352668897113126,-0.19806828095311957,-18.92133429752338
16.372,-22.33,-2.791,"chr f",800000,0.3398561264139346,-14.708762097279454,1.4333298926127398
16.981,-21.226,-3.146,"chr f",900000,-13.102017840052023,9.579449951999198,15.279523561671631
17.608,-20.42,-3.051,"chr f",1000000,-4.278526044540531,8.348529455523849,15.923757921879954
17.122,-20.163,-2.133,"chr f",1100000,14.46833647551977,12.74556412389871,-2.2513042292350036
17.541,-19.215,-1.651,"chr f",1200000,2.652832678266961,17.081054173486592,-1.2708290021001858
18.076,-18.357,-0.878,"chr f",1300000,-15.060710364347871,-3.387022929727827,4.648722418242201
17.694,-18.627,-1.187,"chr f",1400000,12.146893557256242,-16.69223342458568,-0.1264313935168424
17.319,-18.38,-2.215,"chr f",1500000,-5.396921750273606,7.952355830486951,-16.045603009561063
16.268,-17.668,-2.523,"chr f",1600000,8.41800613107647,-19.96901117378513,7.7364485324143075
15.464,-17.974,-1.973,"chr f",1700000,13.356584744788677,-2.397071636278575,11.278372500205155
14.796,-18.379,-1.556,"chr f",1800000,6.803828902281815,-7.225570365617804,19.41951299658671
14.239,-18.065,-0.906,"chr f",1900000,-16.88607970739295,15.603598700996251,-17.847571741272468
13.844,-18.779,-1.139,"chr f",2000000,-18.155890698277155,-19.70954150982174,19.129774610922382
13.464,-19.493,-1.737,"chr f",2100000,-1.2032965241746716,19.73191496787456,9.776576510214802
14.686,-19.696,-2.376,"chr f",2200000,3.4465813422535128,11.619851381691,14.612559995820924
14.388,-20.333,-1.459,"chr f",2300000,6.848286858136991,-17.95822986331324,-16.135217356110864
13.956,-20.88,-1.457,"chr f",2400000,2.9860257548892974,-4.1028654089148375,-13.464357749973432
14.823,-21.582,-2.014,"chr f",2500000,19.20856449166901,11.188194798036221,-1.238120493529813
14.734,-22.587,-2.533,"chr f",2600000,13.805147547885014,4.136546659689749,14.830211277122238
14.232,-22.384,-2.679,"chr f",2700000,-11.954245013283895,5.186048776982965,-5.331860793220002
14.765,-21.329,-2.732,"chr f",2800000,9.584967264754766,0.8299452408360466,-10.043867438189483
13.653,-21.31,-2.708,"chr f",2900000,-1.7317257139190758,6.638946513804832,-8.649177538955804
14.113,-21.735,-3.799,"chr f",3000000,-0.5357219831601334,13.48436681036307,-18.503838628669378
14.463,-20.723,-5.129,"chr f",3100000,-3.259945340450294,-10.447347258227158,-17.334827324269423
13.958,-20.586,-6.071,"chr f",3200000,16.615334946870696,6.1818281096967524,16.29265091793488
14.562,-20.03,-6.879,"chr f",3300000,-11.712440776307385,-12.934267011152208,-13.265650662705358
15.279,-21.183,-6.891,"chr f",3400000,18.53898701079445,3.8036710115421144,-1.9207558858576945
14.292,-21.561,-6.736,"chr f",3500000,-18.82416515283108,8.771880844955142,1.2358596830440902
14.013,-20.981,-7.109,"chr f",3600000,13.806717408420795,-0.9045772850624445,9.081152328274833
14.568,-20.346,-7.186,"chr f",3700000,2.0469563647727504,-16.88795003371596,7.400322679954051
14.622,-20.22,-8.316,"chr f",3800000,13.962664872885128,0.9802068250701446,15.998842438638832
14.972,-20.696,-9.16,"chr f",3900000,-2.1963370010087147,3.1154762479975595,-3.7977505675499934
15.804,-21.047,-7.878,"chr f",4000000,11.16369365640385,-1.7967582219767024,-11.596632828155924
15.11,-21.711,-7.571,"chr f",4100000,6.310625176601402,-5.1633120935036825,1.5258905232960203
15.681,-22.148,-8.045,"chr f",4200000,5.735634081459551,6.727342116848426,9.35214235717887
16.061,-21.922,-9.143,"chr f",4300000,-0.34901425174585654,-17.625456661528958,6.990606347966807
15.582,-20.704,-9.174,"chr f",4400000,-11.459912330260957,8.998306431249354,18.463103303192064
15.607,-19.727,-8.405,"chr f",4500000,-13.19774344363739,4.848497829221444,8.890507839369207
16.473,-19.548,-9.119,"chr f",4600000,-18.277942586395746,2.599405517646826,-12.020682638252257
15.846,-19.456,-10.194,"chr f",4700000,-5.439196332260895,-4.023532973726045,15.640833579282628
15.978,-19.278,-9.53,"chr f",4800000,15.219012093949218,14.282449621873823,18.680898236775093
16.051,-18.404,-8.819,"chr f",4900000,4.558140786510847,-8.082675531890416,12.48654918562346
15.666,-17.996,-8.874,"chr f",5000000,-2.1996739825381404,11.619968878229876,11.377132310008772
13.909,-17.326,-8.449,"chr f",5100000,-13.630711524065987,-19.13554104490214,11.893400992353818
13.056,-16.689,-7.79,"chr f",5200000,-0.17020932110440512,0.049795359394686045,16.868374929105443
12.773,-16.668,-7.324,"chr f",5300000,15.786519283169383,8.558853643247293,-11.869010000044886
13.26,-17.78,-7.421,"chr f",5400000,8.849085282905143,10.037007977655822,12.26165814701752
13.934,-17.719,-8.194,"chr f",5500000,-12.8738703370853,18.747338927004357,-6.448871707624395
14.406,-18.461,-7.678,"chr f",5600000,-19.38202423641161,10.01136897456071,0.8127137742234005
14.376,-18.401,-6.913,"chr f",5700000,15.082229645308438,-5.20495473144042,16.755443995852374
15.113,-17.471,-7.503,"chr f",5800000,13.171718913196472,-12.41449207179723,-0.3164499513220811
15.075,-16.43,-8.082,"chr f",5900000,-8.0353471807088,1.8792413794898337,-7.1168835070537675
14.578,-16.706,-8.433,"chr f",6000000,-8.051286051982188,-6.286654755822912,-0.8549273750612087
14.835,-16.442,-9.509,"chr f",6100000,7.508090195458763,-17.995406481650072,-2.4704470173475386
14.984,-16.658,-9.996,"chr f",6200000,-13.78830234987233,2.7698922711931218,-11.847059481267364
14.152,-17.336,-9.321,"chr f",6300000,-12.220866785099549,-4.026085269946961,0.14156648309743858
13.008,-16.983,-9.346,"chr f",6400000,0.15591198581438448,-9.232799751695925,6.054362896497288
12.992,-15.854,-9.35,"chr f",6500000,8.89458234481975,14.552969676633623,-12.143149491094238
14.07,-15.907,-9.76,"chr f",6600000,3.470196972645457,-11.003954379539302,17.939417788746034
13.915,-16.651,-10.504,"chr f",6700000,-5.549634161143221,-5.974725113779877,-11.629802169044039
12.827,-17.327,-10.561,"chr f",6800000,14.354775715332295,16.418880192473765,19.705258462921307
13.48,-17.599,-10.311,"chr f",6900000,-14.849288154648232,1.4019021117509602,-13.520322127459522
13.467,-18.775,-10.324,"chr f",7000000,7.185663113068973,-0.06559867013702458,11.51076590048287
13.5,-19.8,-10.917,"chr f",7100000,7.668764322276424,-5.3039775271040135,18.24547237537174
13.568,-19.746,-11.77,"chr f",7200000,-12.715628727552591,-3.724524716745009,-4.045203394311386
13.395,-19.815,-10.733,"chr f",7300000,-5.534312284676236,7.633204378676357,15.958918494043665
12.897,-18.823,-9.742,"chr f",7400000,-14.92773223142963,9.861491690771437,9.34905809781608
13.087,-19.158,-8.731,"chr f",7500000,4.671053542752034,-13.696566247818595,10.19137844147362
12.589,-19.659,-7.978,"chr f",7600000,19.581770716172798,5.286535106669767,-3.9937941057174875
13.181,-19.259,-8.826,"chr f",7700000,9.083945662628082,-10.481392699989618,15.744424000528504
14.146,-19.071,-9.286,"chr f",7800000,-8.068823492596731,-3.664015962472984,15.557697537396734
14.255,-18.964,-9.427,"chr f",7900000,8.663176356060305,6.951315408051272,12.765825234190999
14.305,-18.435,-10.522,"chr f",8000000,14.188477943703283,-10.267106427679522,-9.897113042974883
14.316,-17.82,-11.422,"chr f",8100000,8.850274113367629,7.5329523315839,-0.5789942160349213
14.558,-18.883,-11.485,"chr f",8200000,17.590084674817156,-0.444630231320879,5.0920741012154345
14.719,-20.031,-10.849,"chr f",8300000,7.768096309556256,-6.042923015396976,7.466088933702814
15.381,-20.779,-10.555,"chr f",8400000,-12.841724626958776,-7.01310130913849,-9.275082634374288
15.412,-20.053,-10.422,"chr f",8500000,-8.61193678713982,11.98197856457719,-0.8490771107989481
15.165,-17.53,-10.417,"chr f",8600000,4.42903856247748,-14.887431080772844,7.373185057347229
16.081,-17.935,-10.725,"chr f",8700000,-5.819123775793656,-15.745972405719137,11.268323702253266
17.324,-18.271,-10.341,"chr f",8800000,11.056778488273267,-3.006818881108863,-19.578836777381483
17.551,-18.961,-11.059,"chr f",8900000,6.738125923505688,-6.751648149329839,-17.1547893063587
16.857,-19.807,-11.028,"chr f",9000000,-19.7856976130012,14.810930230571223,-1.1861291487608305
16.881,-20.694,-10.493,"chr f",9100000,-5.595228054313942,-1.3778657082274925,-18.555479510038055
17.823,-20.467,-9.648,"chr f",9200000,6.742141846687602,-9.908521307022443,-6.0267253973518855
18.215,-19.485,-9.997,"chr f",9300000,-8.690809789683978,18.414463197094392,-4.1758156857499085
18.25,-18.818,-9.248,"chr f",9400000,-17.86161201462654,-10.884580145708851,-15.435272093444986
18.297,-19.721,-8.376,"chr f",9500000,-11.036411964571272,14.890227949224752,-11.65282637148611
18.05,-20.608,-7.413,"chr f",9600000,15.012869551659712,18.715354450992557,12.424632410040324
17.672,-21.163,-8.326,"chr f",9700000,-8.671641127504351,7.305572014995249,-12.795091771170416
16.764,-20.621,-7.763,"chr f",9800000,-16.80178408060403,7.361660581821674,18.571678542896784
16.487,-20.358,-7.502,"chr f",9900000,0.808490530736492,-6.962542298342985,7.678796750429889
16.907,-19.785,-6.548,"chr f",0,10.311931684352288,9.288293509275416,8.845210365579756
16.184,-19.079,-7.022,"chr f",100000,-14.17156854878543,3.75435062354412,-11.44150212463153
16.978,-18.547,-7.755,"chr f",200000,-16.44974342782502,-3.456158138933084,-1.1882275586508229
17.586,-18.826,-7.508,"chr f",300000,16.893297233914957,-14.875159991937776,7.8891799753116985
17.789,-19.696,-6.562,"chr f",400000,0.8712342054125735,17.474987810837746,-19.301806792420628
18.118,-20.009,-5.889,"chr f",500000,5.388446148057241,19.832102812257794,-4.176534604531991
18.654,-19.419,-6.45,"chr f",600000,-12.146548137082892,-15.81706593674182,-15.553088062721393
19.336,-20.074,-5.724,"chr f",700000,-11.677825294168077,16.808354659923452,18.617975483809424
19.85,-19.233,-6.037,"chr f",800000,-0.6310308848832022,-7.009320236810574,6.322415564307377
19.997,-18.103,-6.112,"chr f",900000,-6.0431384093985585,7.373063772774557,0.5169198736417826
20.348,-19.085,-5.813,"chr f",1000000,-17.656886031445893,-7.534453538922685,6.737359884578595
20.627,-19.939,-5.191,"chr f",1100000,-0.8895723236801487,-7.708452685491061,-11.172655800615917
20.314,-19.892,-4.167,"chr f",1200000,13.985230464130822,-3.124876033166281,-16.365788604156254
19.492,-19.151,-3.761,"chr f",1300000,4.114267136192581,-17.226019448160677,-15.276862958318599
19.337,-20.152,-3.547,"chr f",1400000,-1.7204205619855983,-11.703484167353109,-6.699472186525393
19.062,-20.645,-4.495,"chr f",1500000,3.901943467629117,-18.418979551054726,9.628564793209623
17.916,-21.028,-4.171,"chr f",1600000,-4.96869616103622,4.942054373947883,8.047771123803397
17.357,-19.928,-3.401,"chr f",1700000,-14.665857813736318,11.499294550423826,9.334811080252578
17.841,-18.73,-2.793,"chr f",1800000,17.892640575044027,-0.030187771729938362,-17.403624108084333
18.85,-18.478,-2.721,"chr f",1900000,5.0089100100263195,-15.451803129082347,-4.197423687116565
19.551,-18.104,-1.954,"chr f",2000000,-6.44681818999095,1.9251346356777077,-19.64266355223085
18.822,-17.796,-2.072,"chr f",2100000,17.056692901769573,-9.00472396658046,-19.33846909415309
17.635,-17.646,-2.147,"chr f",2200000,-2.0019903105054304,10.926827647404469,5.734720351621906
17.056,-16.672,-3.128,"chr f",2300000,15.502795160952552,-19.263699511499187,3.128349665725217
17.103,-15.785,-2.485,"chr f",2400000,-13.307099034813415,-9.10242356984909,-16.503400611611426
17.674,-15.417,-2.303,"chr f",2500000,-12.499624800328055,16.55510893319166,11.529003039963705
17.018,-15.943,-2.354,"chr f",2600000,-0.887635976380686,17.56091028380338,-15.171014624053125
17.164,-17.271,-1.955,"chr f",2700000,2.937053554580938,18.29032241107597,10.00399095220039
17.772,-16.658,-1.46,"chr f",2800000,-12.335598589889916,-8.69108248229642,-14.638455992313206
17.009,-16.379,-0.838,"chr f",2900000,14.21770753871752,11.470096688835593,9.606779605730608
17.381,-17.14,-0.017,"chr f",3000000,11.851327901987446,16.97824070469403,11.136688950106794
16.274,-16.555,-0.169,"chr f",3100000,12.73490962794579,-6.590048880388419,16.78265419255404
16.572,-15.779,0.09,"chr f",3200000,-5.433294518543811,6.73170586855268,-19.03416860250367
17.201,-14.924,-0.123,"chr f",3300000,17.161276812461473,10.791024567240008,17.19697150301996
17.965,-15.589,-0.676,"chr f",3400000,-9.31488570157384,-10.872593492796113,-17.332858929865846
19.12,-15.65,-1.504,"chr f",3500000,10.373263495650178,5.816370778084536,7.680971525283681
19.147,-14.734,-2.147,"chr f",3600000,-5.4377816195969775,8.315072679526722,-10.36418513146931
19.052,-15.834,-2.717,"chr f",3700000,-3.201030721911305,1.871892174195338,3.1960000729219757
18.64,-16.592,-2.043,"chr f",3800000,-14.520937530672793,11.442579397913882,12.479399333405624
18.937,-16.938,-1.925,"chr f",3900000,-4.864535436138793,6.945567657776117,7.95360034473843
20.016,-16.5,-2.015,"chr f",4000000,8.176643211050521,18.892776624542847,5.787342385540665
19.336,-15.62,-2.484,"chr f",4100000,-14.4651446721626,-0.5730539794448752,-19.335592397144836
20.403,-15.979,-2.408,"chr f",4200000,-3.10942540470478,-15.791136755213246,11.319494685243995
20.318,-17.051,-3.013,"chr f",4300000,15.667143204964631,11.897206725435154,-0.3205443836350099
18.205,-17.824,-3.883,"chr f",4400000,1.0813000224770235,-2.816707064527648,17.983448361215622
17.156,-17.837,-3.725,"chr f",4500000,-11.673098984923742,7.324231894584049,17.340306962734438
15.917,-17.773,-4.011,"chr f",4600000,14.264867841850574,-4.93174913605146,-12.121632424263717
15.771,-17.301,-5.155,"chr f",4700000,14.365481861007638,12.16823909794661,-3.6772719742203748
15.809,-17.189,-5.356,"chr f",4800000,-14.248551052725972,-2.7450224981785567,18.17125433716462
14.675,-17.118,-6.022,"chr f",4900000,-6.284446682091517,15.51189208508633,13.11859079853187
14.806,-17.774,-5.918,"chr f",5000000,-6.849113760671086,-17.110824731622532,5.973074926689563
14.348,-16.621,-6.379,"chr f",5100000,2.4264795407701065,5.963168428791995,-12.8118545673764
14.146,-15.699,-6.251,"chr f",5200000,8.854756434619965,-18.162736071153258,4.4300697498330095
14.952,-15.013,-6.335,"chr f",5300000,-18.567405061135013,5.8060392455886,7.4094116715867315
15.636,-15.805,-6.439,"chr f",5400000,9.07552540149679,-3.970207546665261,-0.07700345912253681
16.417,-16.295,-6.946,"chr f",5500000,-14.949161035380012,11.099575800436664,5.0995409019189175
16.937,-16.681,-7.525,"chr f",5600000,-0.2735499136022028,-10.450212767223594,1.7556675693148165
16.396,-17.387,-6.973,"chr f",5700000,-3.3112941618315688,1.1444178223233337,9.043620527647871
15.664,-18.861,-6.449,"chr f",5800000,-5.4864478137235295,16.8648019814949,-10.631779094539574
16.315,-19.845,-6.009,"chr f",5900000,3.49724971711915,8.319983802150048,-2.802755736842194
16.503,-18.919,-5.982,"chr f",6000000,-11.444287666329554,8.659813131109829,4.390977132049816
17.344,-18.307,-5.627,"chr f",6100000,-17.768890612586357,19.8939824828136,16.05549494502562
16.927,-18.741,-5.178,"chr f",6200000,-14.858442899145757,9.18820894729173,3.0214263532640864
16.913,-19.355,-4.158,"chr f",6300000,-16.022677901782224,6.688052712414802,-13.220618274939838
16.996,-20.038,-4.763,"chr f",6400000,14.346426197948986,15.003693156123859,6.572549901192346
17.532,-20.681,-5.497,"chr f",6500000,0.4021841242867481,0.6850445176538891,4.469641891636883
16.481,-21.721,-4.641,"chr f",6600000,-5.212728762636267,-18.35858537683556,-6.113852351291023
15.213,-22.239,-4.259,"chr f",6700000,2.1081062683035654,-17.69956966770037,-17.92150177150161
15.785,-21.998,-4.398,"chr f",6800000,1.4034349618522235,-19.25948739856434,-16.813956262988423
15.876,-21.148,-3.858,"chr f",6900000,-5.183540581649563,16.26508703607618,-18.80673595424762
15.261,-20.571,-4.668,"chr f",7000000,-16.564725604169087,4.904827210157606,-11.383914694733267
14.822,-20.232,-5.756,"chr f",7100000,14.058443085380176,8.384502894054862,6.03892430438227
15.74,-20.117,-5.344,"chr f",7200000,6.127961473384822,-15.60432428457537,7.082976989201335
16.021,-19.339,-4.617,"chr f",7300000,8.094530771145429,-12.405385581204346,-2.2863267258424003
16.25,-20.298,-4.838,"chr f",7400000,-10.148429607149101,-15.226648274863672,-11.65148101324644
16.099,-21.316,-5.892,"chr f",7500000,17.422179901648292,-16.223993644858496,8.985314208483235
15.99,-21.816,-5.473,"chr f",7600000,-1.5678062821425698,-2.555496657794972,-8.269476057433867
14.957,-22.725,-5.455,"chr f",7700000,19.072305613696095,-10.494816919909645,13.401592751311853
14.02,-22.376,-4.645,"chr f",7800000,1.4556123612569785,16.688214968078007,-9.120263027928296
13.699,-22.262,-5.621,"chr f",7900000,19.02158133146849,3.790869217248524,-10.098085441899908
14.311,-21.968,-5.616,"chr f",8000000,-7.188680138890113,-14.922303678892295,8.050302564060448
14.701,-21.319,-4.515,"chr f",8100000,18.210429816214855,12.177999028503116,-16.397974594852833
13.518,-20.66,-4.924,"chr f",8200000,-5.869179714793674,-4.938715338547816,11.198038381655731
12.821,-21.746,-5.335,"chr f",8300000,-4.202017372833611,-7.633735671854858,8.318677524721853
12.887,-20.682,-4.8,"chr f",8400000,-12.015943348666283,-17.467209605844264,-18.37751504165519
13.019,-20.266,-3.99,"chr f",8500000,10.841474392153572,4.926820165114819,13.124759336297402
13.724,-20.519,-3.427,"chr f",8600000,-5.041108713168793,-17.637749745854215,10.135260385597142
13.473,-20.082,-3.471,"chr f",8700000,-0.574766234093179,12.016682460521494,-10.812380744709573
11.651,-20.314,-2.812,"chr f",8800000,-17.7994246763955,-12.56996176643137,-17.478937810740067
11.954,-19.984,-3.71,"chr f",8900000,-2.320266709682585,0.5725711899055277,1.396323970550121
11.021,-19.605,-4.587,"chr f",9000000,-7.319871949112535,2.596251788813653,17.423526958583416
10.39,-19.481,-5.027,"chr f",9100000,12.102592554947073,10.554116718463934,6.587312728957496
10.708,-19.603,-3.924,"chr f",9200000,-14.614227290123676,-0.2133694925343157,1.2008610195364753
9.917,-19.913,-3.67,"chr f",9300000,-1.1113576730333534,-15.22617061886557,2.066849848336183
10.308,-19.729,-3.438,"chr f",9400000,-18.287269338528635,-8.484657177414213,-14.00185565590749
9.845,-20.225,-4.562,"chr f",9500000,-2.3585680888957263,-1.877846796822741,3.804896311384603
9.679,-20.927,-5.087,"chr f",9600000,-8.400645333650388,5.88495216801682,11.690987517508535
9.017,-20.618,-5.127,"chr f",9700000,9.982065299641626,-5.960968568211982,-3.5362581181052164
8.304,-20.347,-6.545,"chr f",9800000,13.81613116858604,-9.206845164763106,-2.5703926041155896
8.943,-20.68,-6.686,"chr f",9900000,-15.649470457785718,-2.785990891475034,-13.022602355703565
9.014,-20.566,-7.266,"chr f",0,-16.55137084877194,4.450897339102575,8.053082005929415
9.696,-20.137,-6.481,"chr f",100000,16.631355696571255,7.867014119633691,-1.585036127119352
9.355,-20.564,-6.662,"chr f",200000,8.51222711814286,9.178995595154223,6.174687591834317
9.666,-20.124,-7.781,"chr f",300000,10.000458375404232,-9.627451634967535,-17.720317287010452
10.04,-19.783,-7.859,"chr f",400000,13.351896916573821,14.96767268702569,19.563255930915055
11.189,-19.818,-8.309,"chr f",500000,7.833118075020067,9.697041065620368,8.365818747736483
10.869,-20.646,-9.347,"chr f",600000,12.424785680632397,16.787350479478235,-9.478267108190828
9.974,-19.995,-9.492,"chr f",700000,15.266139459078417,-3.412517552266877,-6.902797005038073
10.075,-19.454,-9.319,"chr f",800000,17.079085235451274,-9.836971273356276,0.10722230331907312
11.024,-19.493,-8.521,"chr f",900000,-18.19738133223057,-1.5137014643539004,-2.3196637554485555
11.23,-19.309,-8.86,"chr f",1000000,13.084364651024401,-5.447391987471546,-10.10041169947221
11.668,-18.561,-9.615,"chr f",1100000,-14.44738518857504,0.6163404203117651,18.13046063189021
11.383,-19.416,-9.888,"chr f",1200000,3.246681985041935,14.759678994570315,-6.617048091639965
10.989,-18.561,-9.665,"chr f",1300000,-9.530219807356719,-9.825632509049145,19.395921203315076
9.941,-18.883,-10.372,"chr f",1400000,12.543264098431969,3.421266457139769,14.055111173764274
