"x","y","z","chr","coord","densityVals"
0.558,7.128,1.73,"chr a",6900000,0.4117647058823529
0.409,5.96,1.946,"chr a",7000000,0.4117647058823529
-0.572,5.608,2.215,"chr a",7100000,0.14705882352941177
-0.684,5.234,3.197,"chr a",7200000,0.17647058823529413
0.224,4.978,3.744,"chr a",7300000,0.23529411764705882
0.078,4.652,4.837,"chr a",7400000,0.20588235294117646
-0.551,4.439,5.851,"chr a",7500000,0.23529411764705882
-1.054,5.431,5.757,"chr a",7600000,0.17647058823529413
-0.577,6.307,6.113,"chr a",7700000,0.17647058823529413
0.215,6.392,6.806,"chr a",7800000,0.20588235294117646
0.665,7.278,7.268,"chr a",7900000,0.14705882352941177
1.643,7.678,7.016,"chr a",8000000,0.17647058823529413
2.346,7.017,6.545,"chr a",8100000,0.17647058823529413
2.219,5.968,6.329,"chr a",8200000,0.23529411764705882
1.522,5.689,5.6,"chr a",8300000,0.23529411764705882
1.076,5.283,6.455,"chr a",8400000,0.2647058823529412
1.896,4.571,6.874,"chr a",8500000,0.29411764705882354
1.811,3.769,7.771,"chr a",8600000,0.23529411764705882
1.119,2.93,7.59,"chr a",8700000,0.29411764705882354
0.47,3.405,8.441,"chr a",8800000,0.4117647058823529
-0.116,3.436,7.327,"chr a",8900000,0.4411764705882353
0.396,3.539,6.792,"chr a",9000000,0.38235294117647056
0.151,2.856,6.22,"chr a",9100000,0.38235294117647056
1.264,3.083,6.081,"chr a",9200000,0.38235294117647056
1.633,3.417,5.878,"chr a",9300000,0.29411764705882354
2.553,2.943,5.532,"chr a",9400000,0.23529411764705882
2.937,2.259,4.731,"chr a",9500000,0.4411764705882353
3.582,3.022,4.688,"chr a",9600000,0.2647058823529412
3.593,3.183,3.618,"chr a",9700000,0.5294117647058824
4.704,4.314,3.036,"chr a",9800000,0.5882352941176471
4.725,4.264,2.913,"chr a",9900000,0.5882352941176471
4.986,3.528,3.657,"chr a",10000000,0.38235294117647056
4.195,4.035,2.797,"chr a",10100000,0.5
4.761,7.221,3.722,"chr a",10200000,0.35294117647058826
5.237,7.294,2.893,"chr a",10300000,0.5588235294117647
5.829,5.918,2.159,"chr a",10400000,0.5294117647058824
5.296,5.792,2.749,"chr a",10500000,0.4117647058823529
4.719,5.907,2.367,"chr a",10600000,0.5882352941176471
6.746,7.39,1.756,"chr a",10700000,0.5882352941176471
7.811,7.985,2.058,"chr a",10800000,0.4117647058823529
8.636,7.875,2.128,"chr a",10900000,0.4117647058823529
8.862,7.996,3.187,"chr a",11000000,0.4411764705882353
8.793,6.97,3.045,"chr a",11100000,0.5
7.774,6.795,2.666,"chr a",11200000,0.4411764705882353
6.968,7.43,3.031,"chr a",11300000,0.5
6.754,7.511,2.062,"chr a",11400000,0.5
6.822,7.958,0.868,"chr a",11500000,0.5
6.622,7.91,-0.068,"chr a",11600000,0.4411764705882353
5.434,8.288,-0.403,"chr a",11700000,0.5294117647058824
4.357,8.503,-0.214,"chr a",11800000,0.5588235294117647
3.594,8.63,-1.181,"chr a",11900000,0.4117647058823529
2.982,9.637,-1.614,"chr a",12000000,0.29411764705882354
3.315,10.105,-0.737,"chr a",12100000,0.3235294117647059
4.332,9.595,-0.976,"chr a",12200000,0.29411764705882354
5.525,9.215,-1.263,"chr a",12300000,0.29411764705882354
6.557,8.178,-1.032,"chr a",12400000,0.4411764705882353
7.226,8.889,-1.393,"chr a",12500000,0.38235294117647056
7.858,8.964,-1.268,"chr a",12600000,0.29411764705882354
8.36,8.164,-0.869,"chr a",12700000,0.2647058823529412
7.757,7.431,-0.899,"chr a",12800000,0.35294117647058826
7.025,8.316,-3.487,"chr a",12900000,0.4117647058823529
6.742,8.423,-2.788,"chr a",13000000,0.5
6.916,7.358,-2.625,"chr a",13100000,0.5
7.944,7.496,-2.582,"chr a",13200000,0.4117647058823529
7.71,8.25,-3.371,"chr a",13300000,0.29411764705882354
7.982,7.286,-3.766,"chr a",13400000,0.35294117647058826
7.242,6.434,-3.289,"chr a",13500000,0.4117647058823529
6.762,6.252,-3.883,"chr a",13600000,0.4117647058823529
6.894,7.028,-4.52,"chr a",13700000,0.4411764705882353
6.053,7.525,-4.346,"chr a",13800000,0.4117647058823529
5.275,7.274,-3.243,"chr a",13900000,0.5294117647058824
4.696,6.364,-3.348,"chr a",14000000,0.4411764705882353
5.451,6.451,-4.248,"chr a",14100000,0.4117647058823529
4.933,6.835,-4.436,"chr a",14200000,0.5
4.659,8.275,-4.134,"chr a",14300000,0.5294117647058824
5.233,8.665,-3.683,"chr a",14400000,0.47058823529411764
5.233,7.906,-3.431,"chr a",14500000,0.5588235294117647
4.893,7.835,-2.746,"chr a",14600000,0.47058823529411764
4.443,7.3,-1.785,"chr a",14700000,0.5294117647058824
4.747,7.785,-2.032,"chr a",14800000,0.5
5.665,7.352,-1.716,"chr a",14900000,0.47058823529411764
5.619,6.462,-1.696,"chr a",15000000,0.4117647058823529
5.776,6.424,-1.109,"chr a",15100000,0.4411764705882353
5.317,6.818,-0.219,"chr a",15200000,0.47058823529411764
6.272,6.547,-0.387,"chr a",15300000,0.5588235294117647
6.39,6.163,0.766,"chr a",15400000,0.5882352941176471
7.407,5.469,0.768,"chr a",15500000,0.5
7.803,6.355,0.701,"chr a",15600000,0.5
8.1,6.941,1.294,"chr a",15700000,0.5588235294117647
8.645,5.956,1.311,"chr a",15800000,0.47058823529411764
8.819,6.512,1.522,"chr a",15900000,0.5294117647058824
9.226,6.108,0.055,"chr a",16000000,0.47058823529411764
9.138,6.005,0.038,"chr a",16100000,0.5
9.714,7.055,0.356,"chr a",16200000,0.23529411764705882
10.48,6.975,1.132,"chr a",16300000,0.17647058823529413
9.839,6.321,1.783,"chr a",16400000,0.5
9.883,5.453,2.694,"chr a",16500000,0.5294117647058824
9.463,5.214,2.316,"chr a",16600000,0.38235294117647056
8.79,5.006,1.375,"chr a",16700000,0.47058823529411764
10.024,4.845,1.294,"chr a",16800000,0.35294117647058826
10.105,3.962,2.068,"chr a",16900000,0.3235294117647059
10.165,3.956,3.073,"chr a",17000000,0.4117647058823529
9.427,3.166,3.153,"chr a",17100000,0.29411764705882354
8.556,2.927,4.018,"chr a",17200000,0.3235294117647059
9.255,3.27,4.788,"chr a",17300000,0.4411764705882353
7.996,3.686,4.943,"chr a",17400000,0.5294117647058824
7.603,3.385,3.723,"chr a",17500000,0.47058823529411764
7.533,3.924,2.682,"chr a",17600000,0.4411764705882353
8.18,4.61,3.236,"chr a",17700000,0.47058823529411764
7.938,4.75,4.406,"chr a",17800000,0.47058823529411764
7.876,3.479,4.645,"chr a",17900000,0.4117647058823529
7.754,2.251,4.987,"chr a",18000000,0.35294117647058826
7.895,2.076,5.738,"chr a",18100000,0.3235294117647059
7.831,3.122,6.141,"chr a",18200000,0.47058823529411764
9.679,5.227,6.057,"chr a",18300000,0.4117647058823529
9.658,5.936,6.825,"chr a",18400000,0.4411764705882353
9.931,4.916,7.052,"chr a",18500000,0.5
9.427,4.055,7.21,"chr a",18600000,0.5294117647058824
8.563,4.439,7.211,"chr a",18700000,0.5
8.371,5.441,7.446,"chr a",18800000,0.47058823529411764
9.52,5.708,7.74,"chr a",18900000,0.47058823529411764
10.512,6.665,7.373,"chr a",19000000,0.47058823529411764
10.875,6.637,7.686,"chr a",19100000,0.4411764705882353
11.748,6.6,8.797,"chr a",19200000,0.4411764705882353
11.485,6.318,8.726,"chr a",19300000,0.5
10.953,5.423,7.948,"chr a",19400000,0.5588235294117647
11.613,5.641,6.989,"chr a",19500000,0.5588235294117647
12.799,5.853,7.454,"chr a",19600000,0.5588235294117647
12.532,5.682,8.117,"chr a",19700000,0.5
12.583,4.646,8.261,"chr a",19800000,0.6176470588235294
12.352,4.349,9.601,"chr a",19900000,0.4411764705882353
11.895,4.71,9.921,"chr a",20000000,0.4411764705882353
11.672,5.154,8.84,"chr a",20100000,0.5588235294117647
11.271,5.146,7.416,"chr a",20200000,0.5294117647058824
11.953,4.422,7.045,"chr a",20300000,0.47058823529411764
10.991,4.509,6.18,"chr a",20400000,0.5
9.099,4.837,4.046,"chr a",20500000,0.5
6.99,5.393,0.944,"chr a",20600000,0.5
6.842,5.382,-0.47,"chr a",20700000,0.5
7.718,5.641,-1.112,"chr a",20800000,0.47058823529411764
7.99,5.539,-2.309,"chr a",20900000,0.47058823529411764
8.083,5.653,-1.721,"chr a",21000000,0.4411764705882353
7.547,5.406,-0.409,"chr a",21100000,0.5
7.873,4.369,-0.568,"chr a",21200000,0.47058823529411764
7.699,3.851,-1.335,"chr a",21300000,0.5
7.007,3.084,-1.831,"chr a",21400000,0.35294117647058826
6.142,2.466,-1.376,"chr a",21500000,0.3235294117647059
5.32,1.664,-0.975,"chr a",21600000,0.4117647058823529
5.53,0.962,-0.036,"chr a",21700000,0.38235294117647056
6.18,-0.081,1.55,"chr a",21800000,0.4117647058823529
5.167,0.186,2.188,"chr a",21900000,0.4117647058823529
5.295,-0.628,1.186,"chr a",22000000,0.23529411764705882
4.911,-0.333,0.057,"chr a",22100000,0.20588235294117646
4.512,0.341,-0.79,"chr a",22200000,0.3235294117647059
4.698,0.499,-1.84,"chr a",22300000,0.3235294117647059
5.325,1.438,-1.983,"chr a",22400000,0.35294117647058826
5.148,2.129,-2.249,"chr a",22500000,0.4117647058823529
4.24,1.63,-2.646,"chr a",22600000,0.38235294117647056
3.379,2.006,-3.128,"chr a",22700000,0.29411764705882354
2.424,1.723,-3.39,"chr a",22800000,0.23529411764705882
1.945,2.723,-3.191,"chr a",22900000,0.2647058823529412
2.587,3.061,-2.439,"chr a",23000000,0.4117647058823529
2.369,4.055,-3.536,"chr a",23100000,0.35294117647058826
2.567,5.45,-4.711,"chr a",23200000,0.4411764705882353
1.921,6.351,-5,"chr a",23300000,0.2647058823529412
1.88,7.518,-5.439,"chr a",23400000,0.29411764705882354
2.081,6.513,-5.87,"chr a",23500000,0.2647058823529412
2.633,7,-6.704,"chr a",23600000,0.4411764705882353
3.533,7.548,-6.563,"chr a",23700000,0.4117647058823529
3.921,7.737,-5.624,"chr a",23800000,0.38235294117647056
4.849,8.118,-5.265,"chr a",23900000,0.47058823529411764
3.993,7.69,-4.268,"chr a",24000000,0.4411764705882353
3.388,7.407,-3.125,"chr a",24100000,0.5
3.223,7.466,-1.968,"chr a",24200000,0.38235294117647056
1.784,7.456,0.356,"chr a",24300000,0.4411764705882353
2.039,7.349,1.513,"chr a",24400000,0.5294117647058824
2.764,8.218,1.334,"chr a",24500000,0.5
2.019,9.228,1.581,"chr a",24600000,0.3235294117647059
1.374,9.512,0.761,"chr a",24700000,0.29411764705882354
1.177,8.375,0.747,"chr a",24800000,0.4411764705882353
2.113,8.668,-0.204,"chr a",24900000,0.5588235294117647
2.697,8.364,-1.142,"chr a",25000000,0.38235294117647056
1.595,8.052,-1.002,"chr a",25100000,0.4411764705882353
0.718,7.894,-1.042,"chr a",25200000,0.47058823529411764
1.744,6.942,-0.759,"chr a",25300000,0.5294117647058824
2.622,6.689,0.084,"chr a",25400000,0.4411764705882353
3.459,7.309,0.154,"chr a",25500000,0.5294117647058824
3.595,8.389,0.701,"chr a",25600000,0.5
3.497,9.387,0.577,"chr a",25700000,0.47058823529411764
4.262,10.12,0.234,"chr a",25800000,0.29411764705882354
5.222,9.921,0.595,"chr a",25900000,0.4411764705882353
5.313,8.769,0.973,"chr a",26000000,0.5
4.968,7.328,1.065,"chr a",26100000,0.5882352941176471
5.16,7.241,1.141,"chr a",26200000,0.5882352941176471
4.863,8.478,1.619,"chr a",26300000,0.5294117647058824
5.899,8.99,0.949,"chr a",26400000,0.5588235294117647
6.673,9.613,0.131,"chr a",26500000,0.38235294117647056
6.995,10.443,0.988,"chr a",26600000,0.35294117647058826
7.198,9.518,1.633,"chr a",26700000,0.4411764705882353
7.223,9.162,2.443,"chr a",26800000,0.4411764705882353
6.163,8.873,2.756,"chr a",26900000,0.5294117647058824
5.915,9.063,2.899,"chr a",27000000,0.5294117647058824
4.394,8.667,2.2,"chr a",27100000,0.5882352941176471
3.415,9.337,2.402,"chr a",27200000,0.47058823529411764
3.576,9.504,2.694,"chr a",27300000,0.38235294117647056
5.026,9.653,2.58,"chr a",27400000,0.5
5.733,10.618,1.737,"chr a",27500000,0.4117647058823529
4.766,11.366,1.298,"chr a",27600000,0.23529411764705882
4.001,10.588,1.32,"chr a",27700000,0.3235294117647059
4.59,10.117,2.449,"chr a",27800000,0.47058823529411764
4.187,10.677,3.206,"chr a",27900000,0.29411764705882354
4.003,10.267,4.035,"chr a",28000000,0.38235294117647056
4.534,8.991,3.602,"chr a",28100000,0.4411764705882353
3.526,8.63,3.905,"chr a",28200000,0.3235294117647059
3.719,8.543,4.757,"chr a",28300000,0.2647058823529412
3.869,9.236,5.567,"chr a",28400000,0.23529411764705882
4.017,10.085,6.183,"chr a",28500000,0.14705882352941177
4.931,10.459,5.778,"chr a",28600000,0.20588235294117646
5.125,9.808,4.839,"chr a",28700000,0.3235294117647059
5.847,10.365,4.257,"chr a",28800000,0.38235294117647056
6.285,11.391,4.531,"chr a",28900000,0.38235294117647056
5.548,12.022,3.939,"chr a",29000000,0.20588235294117646
5.461,11.884,2.777,"chr a",29100000,0.35294117647058826
6.174,11.882,2.104,"chr a",29200000,0.35294117647058826
7.332,11.958,2.273,"chr a",29300000,0.2647058823529412
7.743,11.352,1.983,"chr a",29400000,0.35294117647058826
8.579,11.365,2.872,"chr a",29500000,0.38235294117647056
9.467,11.148,2.253,"chr a",29600000,0.3235294117647059
9.646,11.264,1.243,"chr a",29700000,0.23529411764705882
9.492,11.685,0.245,"chr a",29800000,0.17647058823529413
9.264,10.962,-0.549,"chr a",29900000,0.14705882352941177
8.988,10.023,-0.06,"chr a",30000000,0.17647058823529413
8.988,9.95,1,"chr a",30100000,0.23529411764705882
8.447,10.135,1.897,"chr a",30200000,0.35294117647058826
6.353,10.547,2.827,"chr a",30300000,0.5
6.951,10.611,2.962,"chr a",30400000,0.5588235294117647
7.244,11.462,3.279,"chr a",30500000,0.4411764705882353
7.355,12.545,3.398,"chr a",30600000,0.3235294117647059
7.793,12.639,4.373,"chr a",30700000,0.2647058823529412
8.344,11.739,4.8,"chr a",30800000,0.4411764705882353
8.132,10.836,4.407,"chr a",30900000,0.4411764705882353
7.49,10.227,4.744,"chr a",31000000,0.4117647058823529
7.455,10.134,5.379,"chr a",31100000,0.2647058823529412
7.159,9.018,5.917,"chr a",31200000,0.4411764705882353
7.634,8.059,6.022,"chr a",31300000,0.38235294117647056
8.718,7.82,5.605,"chr a",31400000,0.35294117647058826
9.183,7.763,4.393,"chr a",31500000,0.4117647058823529
10.137,7.63,4.051,"chr a",31600000,0.2647058823529412
10.091,8.314,3.181,"chr a",31700000,0.2647058823529412
9.762,9.315,2.886,"chr a",31800000,0.2647058823529412
8.769,9.551,3.589,"chr a",31900000,0.4117647058823529
9.295,9.611,4.365,"chr a",32000000,0.38235294117647056
9.943,9.359,5.056,"chr a",32100000,0.29411764705882354
9,8.898,5.154,"chr a",32200000,0.38235294117647056
8.262,8.498,4.534,"chr a",32300000,0.4117647058823529
7.268,8.479,4.249,"chr a",32400000,0.4117647058823529
7.24,7.498,4.636,"chr a",32500000,0.4117647058823529
8.006,6.831,4.33,"chr a",32600000,0.47058823529411764
7.184,6.044,4.632,"chr a",32700000,0.4411764705882353
6.811,5.027,4.049,"chr a",32800000,0.4411764705882353
7.083,5.155,3.026,"chr a",32900000,0.4411764705882353
7.294,6.108,2.702,"chr a",33000000,0.5
6.412,6.325,3.327,"chr a",33100000,0.5294117647058824
5.602,5.467,3.996,"chr a",33200000,0.4411764705882353
5.799,5.748,5.094,"chr a",33300000,0.35294117647058826
8.661,6.181,4.814,"chr a",33400000,0.47058823529411764
9.576,6.411,4.095,"chr a",33500000,0.38235294117647056
10.618,5.759,3.393,"chr a",33600000,0.38235294117647056
11.215,6.539,3.07,"chr a",33700000,0.29411764705882354
11.444,5.767,2.412,"chr a",33800000,0.29411764705882354
11.439,4.891,3.029,"chr a",33900000,0.4411764705882353
11.86,3.949,2.688,"chr a",34000000,0.35294117647058826
12.362,4.16,2.232,"chr a",34100000,0.3235294117647059
12.984,5.897,2.325,"chr a",34200000,0.2647058823529412
12.898,5.552,3.224,"chr a",34300000,0.35294117647058826
13.435,4.87,3.859,"chr a",34400000,0.29411764705882354
12.546,4.123,3.949,"chr a",34500000,0.3235294117647059
12.652,3.195,4.266,"chr a",34600000,0.38235294117647056
11.61,2.978,3.8,"chr a",34700000,0.3235294117647059
11.285,1.752,4.163,"chr a",34800000,0.35294117647058826
11.879,1.179,3.605,"chr a",34900000,0.38235294117647056
11.746,0.402,2.86,"chr a",35000000,0.4117647058823529
12.195,0.269,2.101,"chr a",35100000,0.29411764705882354
12.102,0.836,1.226,"chr a",35200000,0.29411764705882354
11.323,0.915,1.402,"chr a",35300000,0.35294117647058826
10.352,1.33,1.247,"chr a",35400000,0.29411764705882354
10.315,2.057,1.97,"chr a",35500000,0.2647058823529412
10.578,1.505,2.891,"chr a",35600000,0.35294117647058826
9.614,0.777,2.965,"chr a",35700000,0.2647058823529412
10.454,0.102,3.24,"chr a",35800000,0.3235294117647059
10.7,-0.092,4.029,"chr a",35900000,0.4117647058823529
10.078,0.715,4.207,"chr a",36000000,0.3235294117647059
8.893,0.263,3.934,"chr a",36100000,0.2647058823529412
9.537,-0.665,4.658,"chr a",36200000,0.3235294117647059
9.624,-1.383,5.66,"chr a",36300000,0.29411764705882354
10.393,-2.11,5.388,"chr a",36400000,0.4117647058823529
10.647,-3.184,5.037,"chr a",36500000,0.5588235294117647
11.225,-3.972,4.645,"chr a",36600000,0.5
11.144,-3.307,3.687,"chr a",36700000,0.29411764705882354
11.382,-2.454,4.386,"chr a",36800000,0.38235294117647056
12.153,-2.7,4.681,"chr a",36900000,0.38235294117647056
12.209,-3.317,5.507,"chr a",37000000,0.5
11.844,-3.147,6.066,"chr a",37100000,0.5294117647058824
11.997,-2.281,6.038,"chr a",37200000,0.47058823529411764
12.27,-1.436,5.557,"chr a",37300000,0.5
12.862,-0.499,5.844,"chr a",37400000,0.4117647058823529
12.45,0.272,6.441,"chr a",37500000,0.5294117647058824
11.898,0.018,6.484,"chr a",37600000,0.4411764705882353
11.464,-0.699,6.022,"chr a",37700000,0.35294117647058826
11.387,0.206,5.437,"chr a",37800000,0.3235294117647059
10.326,0.708,5.505,"chr a",37900000,0.4117647058823529
10.906,1.251,6.255,"chr a",38000000,0.5
11.562,1.614,5.634,"chr a",38100000,0.3235294117647059
11.227,2.83,5.551,"chr a",38200000,0.3235294117647059
10.822,3.876,4.939,"chr a",38300000,0.3235294117647059
10.833,4.335,4.534,"chr a",38400000,0.47058823529411764
10.2,4.977,4.503,"chr a",38500000,0.5
9.444,4.427,5.323,"chr a",38600000,0.4411764705882353
9.469,3.369,5.936,"chr a",38700000,0.4117647058823529
9.263,2.26,6.147,"chr a",38800000,0.38235294117647056
9.204,1.51,6.951,"chr a",38900000,0.4411764705882353
8.66,0.523,6.706,"chr a",39000000,0.35294117647058826
9.566,0.189,7.224,"chr a",39100000,0.4411764705882353
8.801,-0.066,8.395,"chr a",39200000,0.4117647058823529
8.574,0.73,8.573,"chr a",39300000,0.4411764705882353
8.34,0.925,9.428,"chr a",39400000,0.38235294117647056
8.052,-0.201,9.222,"chr a",39500000,0.35294117647058826
7.454,0.011,9.15,"chr a",39600000,0.35294117647058826
6.833,-0.748,8.897,"chr a",39700000,0.2647058823529412
6.856,-0.717,7.834,"chr a",39800000,0.2647058823529412
7.149,0.245,7.763,"chr a",39900000,0.35294117647058826
8.115,-0.198,7.649,"chr a",40000000,0.3235294117647059
10.08,-0.012,7.322,"chr a",40100000,0.4117647058823529
10.615,-1.163,7.21,"chr a",40200000,0.5
10.204,-1.46,8.089,"chr a",40300000,0.4117647058823529
10.091,-0.524,8.614,"chr a",40400000,0.4117647058823529
11.112,-0.294,8.684,"chr a",40500000,0.5294117647058824
10.824,0.428,7.95,"chr a",40600000,0.5
11.009,0.551,8.106,"chr a",40700000,0.5
11.168,1.453,8.628,"chr a",40800000,0.5588235294117647
10.631,1.803,9.497,"chr a",40900000,0.5588235294117647
10.329,2.186,10.231,"chr a",41000000,0.47058823529411764
10.411,2.076,10.823,"chr a",41100000,0.6470588235294118
11.186,2.954,10.536,"chr a",41200000,0.5588235294117647
12.081,2.699,11.189,"chr a",41300000,0.47058823529411764
12.308,1.608,11.507,"chr a",41400000,0.4411764705882353
12.672,1.137,12.315,"chr a",41500000,0.38235294117647056
13.305,1.45,12.041,"chr a",41600000,0.35294117647058826
13.706,2.11,12.957,"chr a",41700000,0.17647058823529413
13.133,2.836,13.489,"chr a",41800000,0.17647058823529413
12.24,3.393,12.962,"chr a",41900000,0.38235294117647056
12.391,3.277,11.958,"chr a",42000000,0.35294117647058826
12.143,2.562,10.98,"chr a",42100000,0.47058823529411764
11.619,1.523,10.488,"chr a",42200000,0.5
12.003,1.917,9.6,"chr a",42300000,0.5588235294117647
12.228,2.27,8.956,"chr a",42400000,0.4411764705882353
12.132,1.801,7.677,"chr a",42500000,0.5294117647058824
12.338,1.742,7.429,"chr a",42600000,0.5294117647058824
13.596,2.128,7.246,"chr a",42700000,0.3235294117647059
13.505,2.156,8.249,"chr a",42800000,0.47058823529411764
13.38,2.465,8.776,"chr a",42900000,0.5588235294117647
13.901,1.708,9.322,"chr a",43000000,0.4411764705882353
13.449,1.071,9.721,"chr a",43100000,0.4411764705882353
12.867,0.634,10.586,"chr a",43200000,0.5
11.534,0.243,10.317,"chr a",43300000,0.47058823529411764
10.336,0.351,9.892,"chr a",43400000,0.5
9.97,1.14,9.28,"chr a",43500000,0.5
9.776,0.25,10.022,"chr a",43600000,0.5
9.034,0.78,10.538,"chr a",43700000,0.4411764705882353
8.15,1.204,11.017,"chr a",43800000,0.2647058823529412
7.852,0.152,11.164,"chr a",43900000,0.3235294117647059
7.782,0.359,12.438,"chr a",44000000,0.29411764705882354
8.459,0.79,13.522,"chr a",44100000,0.3235294117647059
9.068,1.472,14.373,"chr a",44200000,0.38235294117647056
9.617,2.28,14.611,"chr a",44300000,0.35294117647058826
10.53,2.739,15.159,"chr a",44400000,0.3235294117647059
10.737,2.657,15.36,"chr a",44500000,0.29411764705882354
10.022,1.393,15.384,"chr a",44600000,0.5294117647058824
10.461,1.088,16.071,"chr a",44700000,0.4411764705882353
10.5,0.955,16.759,"chr a",44800000,0.3235294117647059
11.545,0.878,15.87,"chr a",44900000,0.29411764705882354
10.936,0.211,14.329,"chr a",45000000,0.5588235294117647
10.604,-0.075,14.484,"chr a",45100000,0.6470588235294118
9.443,0.138,14.109,"chr a",45200000,0.35294117647058826
9.131,-0.252,15.062,"chr a",45300000,0.5
9.105,-0.856,15.515,"chr a",45400000,0.5
10.122,-0.49,16.155,"chr a",45500000,0.5588235294117647
10.956,-0.32,15.608,"chr a",45600000,0.5882352941176471
10.579,-0.117,14.64,"chr a",45700000,0.5588235294117647
10.483,1.856,13.697,"chr a",45800000,0.5
11.407,2.16,14.058,"chr a",45900000,0.38235294117647056
11.327,3.393,13.985,"chr a",46000000,0.4411764705882353
11.404,4.36,11.345,"chr a",46100000,0.4411764705882353
10.213,4.349,11.275,"chr a",46200000,0.5
8.876,3.913,11.6,"chr a",46300000,0.4117647058823529
7.693,4.188,11.65,"chr a",46400000,0.35294117647058826
6.601,4.255,11.847,"chr a",46500000,0.47058823529411764
6.4,3.302,11.73,"chr a",46600000,0.29411764705882354
6.824,2.931,10.87,"chr a",46700000,0.38235294117647056
6.365,3.522,10.01,"chr a",46800000,0.5
5.8,4.307,9.569,"chr a",46900000,0.4411764705882353
4.998,4.768,8.818,"chr a",47000000,0.23529411764705882
4.679,5.044,8.203,"chr a",47100000,0.23529411764705882
5.5,5.244,7.555,"chr a",47200000,0.4117647058823529
6.332,5.96,7.075,"chr a",47300000,0.35294117647058826
7.139,6.232,6.491,"chr a",47400000,0.4411764705882353
7.113,6.857,5.567,"chr a",47500000,0.4411764705882353
6.31,7.648,5.945,"chr a",47600000,0.3235294117647059
5.491,8.063,5.441,"chr a",47700000,0.23529411764705882
5.348,8.664,6.423,"chr a",47800000,0.3235294117647059
6.108,8.37,6.993,"chr a",47900000,0.35294117647058826
6.852,7.551,7.239,"chr a",48000000,0.4117647058823529
7.656,8.33,7.698,"chr a",48100000,0.2647058823529412
7.267,8.114,8.559,"chr a",48200000,0.3235294117647059
6.85,7.449,9.027,"chr a",48300000,0.3235294117647059
7.21,6.731,8.411,"chr a",48400000,0.38235294117647056
6.862,5.581,8.668,"chr a",48500000,0.4411764705882353
5.894,6.203,9.057,"chr a",48600000,0.29411764705882354
5.774,6.857,8.221,"chr a",48700000,0.38235294117647056
5.623,6.774,6.806,"chr a",48800000,0.38235294117647056
4.475,6.853,6.956,"chr a",48900000,0.23529411764705882
3.99,6.023,6.637,"chr a",49000000,0.3235294117647059
4.014,5.035,6.335,"chr a",49100000,0.23529411764705882
4.851,4.457,6.093,"chr a",49200000,0.2647058823529412
4.889,3.487,7.058,"chr a",49300000,0.2647058823529412
5.35,2.317,7.657,"chr a",49400000,0.20588235294117646
5.648,2.28,6.568,"chr a",49500000,0.29411764705882354
6.019,2.553,5.873,"chr a",49600000,0.35294117647058826
5.975,3.003,5.36,"chr a",49700000,0.2647058823529412
